Time(min),t1,t,eta,Pressure,Temperature,H,r,tau
2,120,0.011111111,3193.4,80,130,0.05,1,133764.8264
4,240,0.022222222,3088.2,80,130,0.05,1,129358.2191
6,360,0.033333333,2995.7,80,130,0.05,1,125483.5882
8,480,0.044444444,2907.1,80,130,0.05,1,121772.32
10,600,0.055555556,2822.6,80,130,0.05,1,118232.7923
12,720,0.066666667,2738.5,80,130,0.05,1,114710.0198
14,840,0.077777778,2671.4,80,130,0.05,1,111899.3415
16,960,0.088888889,2570.4,80,130,0.05,1,107668.6634
18,1080,0.1,2509.5,80,130,0.05,1,105117.6902
20,1200,0.111111111,2446.2,80,130,0.05,1,102466.186
22,1320,0.122222222,2390,80,130,0.05,1,100112.0859
24,1440,0.133333333,2362.7,80,130,0.05,1,98968.54617
26,1560,0.144444444,2297.7,80,130,0.05,1,96245.83254
28,1680,0.155555556,2243.7,80,130,0.05,1,93983.88582
30,1800,0.166666667,2191.9,80,130,0.05,1,91814.0925
32,1920,0.177777778,2144,80,130,0.05,1,89807.66199
34,2040,0.188888889,2097.2,80,130,0.05,1,87847.30817
36,2160,0.2,2053.2,80,130,0.05,1,86004.24048
38,2280,0.211111111,2013.9,80,130,0.05,1,84358.04593
40,2400,0.222222222,1978.5,80,130,0.05,1,82875.2142
42,2520,0.233333333,1940.9,80,130,0.05,1,81300.22908
44,2640,0.244444444,1905.2,80,130,0.05,1,79804.83098
46,2760,0.255555556,1866.7,80,130,0.05,1,78192.14675
48,2880,0.266666667,1832.2,80,130,0.05,1,76747.01413
50,3000,0.277777778,1806.3,80,130,0.05,1,75662.11747
52,3120,0.288888889,1781.2,80,130,0.05,1,74610.73113
54,3240,0.3,1725.8,80,130,0.05,1,72290.14135
56,3360,0.311111111,1705.7,80,130,0.05,1,71448.19452
58,3480,0.322222222,1657.8,80,130,0.05,1,69441.76401
60,3600,0.333333333,1640.8,80,130,0.05,1,68729.66968
62,3720,0.344444444,1613.6,80,130,0.05,1,67590.31874
64,3840,0.355555556,1573.5,80,130,0.05,1,65910.61387
66,3960,0.366666667,1524.9,80,130,0.05,1,63874.86183
68,4080,0.377777778,1514.9,80,130,0.05,1,63455.98281
70,4200,0.388888889,1503.5,80,130,0.05,1,62978.46073
72,4320,0.4,1468.8,80,130,0.05,1,61524.95053
74,4440,0.411111111,1452.8,80,130,0.05,1,60854.7441
76,4560,0.422222222,1434.2,80,130,0.05,1,60075.62912
78,4680,0.433333333,1405.1,80,130,0.05,1,58856.69117
80,4800,0.444444444,1373.4,80,130,0.05,1,57528.84467
82,4920,0.455555556,1355.6,80,130,0.05,1,56783.24002
84,5040,0.466666667,1337.8,80,130,0.05,1,56037.63536
86,5160,0.477777778,1331.4,80,130,0.05,1,55769.55279
88,5280,0.488888889,1318.9,80,130,0.05,1,55245.95401
90,5400,0.5,1286.3,80,130,0.05,1,53880.4084
92,5520,0.511111111,1246.1,80,130,0.05,1,52196.51474
94,5640,0.522222222,1240,80,130,0.05,1,51940.99854
96,5760,0.533333333,1204.6,80,130,0.05,1,50458.16681
98,5880,0.544444444,1181.1,80,130,0.05,1,49473.80111
100,6000,0.555555556,1176.1,80,130,0.05,1,49264.3616
102,6120,0.566666667,1143.7,80,130,0.05,1,47907.19357
104,6240,0.577777778,1123.4,80,130,0.05,1,47056.86916
106,6360,0.588888889,1105.5,80,130,0.05,1,46307.07571
108,6480,0.6,1089.7,80,130,0.05,1,45645.24686
110,6600,0.611111111,1075.9,80,130,0.05,1,45067.19381
112,6720,0.622222222,1060,80,130,0.05,1,44401.17617
114,6840,0.633333333,1049.2,80,130,0.05,1,43948.78683
116,6960,0.644444444,1034,80,130,0.05,1,43312.09072
118,7080,0.655555556,1019.9,80,130,0.05,1,42721.4713
120,7200,0.666666667,1011.7,80,130,0.05,1,42377.9905
122,7320,0.677777778,1001.9,80,130,0.05,1,41967.48906
124,7440,0.688888889,989.69,80,130,0.05,1,41456.03778
126,7560,0.7,982.33,80,130,0.05,1,41147.74282
128,7680,0.711111111,976.24,80,130,0.05,1,40892.6455
130,7800,0.722222222,965.25,80,130,0.05,1,40432.29745
132,7920,0.733333333,957.3,80,130,0.05,1,40099.28863
134,8040,0.744444444,946.91,80,130,0.05,1,39664.07333
136,8160,0.755555556,954.07,80,130,0.05,1,39963.99071
138,8280,0.766666667,927.2,80,130,0.05,1,38838.46278
140,8400,0.777777778,922.98,80,130,0.05,1,38661.69583
142,8520,0.788888889,902.61,80,130,0.05,1,37808.43927
144,8640,0.8,896.82,80,130,0.05,1,37565.90831
146,8760,0.811111111,894.89,80,130,0.05,1,37485.06466
148,8880,0.822222222,882.12,80,130,0.05,1,36950.15615
150,9000,0.833333333,868.95,80,130,0.05,1,36398.49248
152,9120,0.844444444,861.62,80,130,0.05,1,36091.45416
154,9240,0.855555556,850.45,80,130,0.05,1,35623.5663
156,9360,0.866666667,847.35,80,130,0.05,1,35493.7138
158,9480,0.877777778,839.69,80,130,0.05,1,35172.85247
160,9600,0.888888889,834.95,80,130,0.05,1,34974.30381
162,9720,0.9,829.37,80,130,0.05,1,34740.56932
164,9840,0.911111111,824.01,80,130,0.05,1,34516.05017
166,9960,0.922222222,818.07,80,130,0.05,1,34267.23603
168,10080,0.933333333,814.05,80,130,0.05,1,34098.84666
170,10200,0.944444444,799.04,80,130,0.05,1,33470.10925
172,10320,0.955555556,801.26,80,130,0.05,1,33563.10039
174,10440,0.966666667,789.27,80,130,0.05,1,33060.86445
176,10560,0.977777778,792.91,80,130,0.05,1,33213.33641
178,10680,0.988888889,780.99,80,130,0.05,1,32714.03262
180,10800,1,775.37,80,130,0.05,1,32478.62261
