Time(min),t1,t,eta,Pressure,Temperature,H,r,tau
2,120,0.011111111,2216.3,100,130,0.001,1,4.641807865
4,240,0.022222222,2178.7,100,130,0.001,1,4.56305861
6,360,0.033333333,2176.5,100,130,0.001,1,4.55845094
8,480,0.044444444,2173.5,100,130,0.001,1,4.552167755
10,600,0.055555556,2161.5,100,130,0.001,1,4.527035014
12,720,0.066666667,2148.2,100,130,0.001,1,4.499179559
14,840,0.077777778,2113.6,100,130,0.001,1,4.426713488
16,960,0.088888889,2071.4,100,130,0.001,1,4.338330015
18,1080,0.1,2045.8,100,130,0.001,1,4.2847135
20,1200,0.111111111,1986.7,100,130,0.001,1,4.16093475
22,1320,0.122222222,1971.4,100,130,0.001,1,4.128890505
24,1440,0.133333333,1977.2,100,130,0.001,1,4.141037996
26,1560,0.144444444,1964.8,100,130,0.001,1,4.115067497
28,1680,0.155555556,1940.1,100,130,0.001,1,4.063335938
30,1800,0.166666667,1932.6,100,130,0.001,1,4.047627975
32,1920,0.177777778,1902.8,100,130,0.001,1,3.985215001
34,2040,0.188888889,1851.5,100,130,0.001,1,3.877772532
36,2160,0.2,1817.1,100,130,0.001,1,3.805725341
38,2280,0.211111111,1795.6,100,130,0.001,1,3.760695846
40,2400,0.222222222,1773.2,100,130,0.001,1,3.713781396
42,2520,0.233333333,1753.8,100,130,0.001,1,3.673150131
44,2640,0.244444444,1739.5,100,130,0.001,1,3.643200281
46,2760,0.255555556,1709.6,100,130,0.001,1,3.580577867
48,2880,0.266666667,1681.8,100,130,0.001,1,3.522353683
50,3000,0.277777778,1637.8,100,130,0.001,1,3.430200299
52,3120,0.288888889,1607.8,100,130,0.001,1,3.367368446
54,3240,0.3,1579.1,100,130,0.001,1,3.307259306
56,3360,0.311111111,1535.4,100,130,0.001,1,3.21573424
58,3480,0.322222222,1549,100,130,0.001,1,3.244218014
60,3600,0.333333333,1562.7,100,130,0.001,1,3.272911227
62,3720,0.344444444,1565.5,100,130,0.001,1,3.278775533
64,3840,0.355555556,1556.1,100,130,0.001,1,3.259088219
66,3960,0.366666667,1524.5,100,130,0.001,1,3.192905334
68,4080,0.377777778,1493.6,100,130,0.001,1,3.128188525
70,4200,0.388888889,1480.6,100,130,0.001,1,3.100961389
72,4320,0.4,1417.2,100,130,0.001,1,2.968176739
74,4440,0.411111111,1366.1,100,130,0.001,1,2.861153149
76,4560,0.422222222,1352.1,100,130,0.001,1,2.831831618
78,4680,0.433333333,1281.2,100,130,0.001,1,2.683339005
80,4800,0.444444444,1260,100,130,0.001,1,2.638937829
82,4920,0.455555556,1216.3,100,130,0.001,1,2.547412763
84,5040,0.466666667,1204.9,100,130,0.001,1,2.523536659
86,5160,0.477777778,1199.4,100,130,0.001,1,2.512017486
88,5280,0.488888889,1180.7,100,130,0.001,1,2.472852297
90,5400,0.5,1166.7,100,130,0.001,1,2.443530766
92,5520,0.511111111,1150.9,100,130,0.001,1,2.410439323
94,5640,0.522222222,1138.9,100,130,0.001,1,2.385306582
96,5760,0.533333333,1121.6,100,130,0.001,1,2.349073547
98,5880,0.544444444,1109.9,100,130,0.001,1,2.324569124
100,6000,0.555555556,1085.5,100,130,0.001,1,2.273465884
102,6120,0.566666667,1071.9,100,130,0.001,1,2.24498211
104,6240,0.577777778,1056.2,100,130,0.001,1,2.212100107
106,6360,0.588888889,1041.8,100,130,0.001,1,2.181940818
108,6480,0.6,1029.1,100,130,0.001,1,2.155342
110,6600,0.611111111,1004.5,100,130,0.001,1,2.10381988
112,6720,0.622222222,991.63,100,130,0.001,1,2.076865015
114,6840,0.633333333,978.69,100,130,0.001,1,2.049763543
116,6960,0.644444444,963.93,100,130,0.001,1,2.018850271
118,7080,0.655555556,949.75,100,130,0.001,1,1.989151748
120,7200,0.666666667,952.6,100,130,0.001,1,1.995120775
122,7320,0.677777778,932.07,100,130,0.001,1,1.952122843
124,7440,0.688888889,917.9,100,130,0.001,1,1.922445264
126,7560,0.7,892.32,100,130,0.001,1,1.868870638
128,7680,0.711111111,896.16,100,130,0.001,1,1.876913115
130,7800,0.722222222,884.87,100,130,0.001,1,1.853267394
